Time (Days since Jan 1, 1900)	Photopic (lux)	Circadian light (CL)	Activity (rms delta g-force)	Temperature (C)	Blue (blux)
39061.2920300	7.525e+001	7.611e+001	7.525e-002	2.141e+001	8.313e+001
39061.2923700	7.956e+001	7.976e+001	5.774e-002	2.161e+001	8.714e+001
39061.2927200	7.700e+001	6.500e+001	1.962e-001	2.177e+001	7.137e+001
39061.2930700	7.392e+001	8.206e+001	2.217e-001	2.189e+001	8.942e+001
39061.2934200	7.726e+001	8.173e+001	1.692e-001	2.209e+001	8.916e+001
39061.2937600	8.758e+001	9.991e+001	1.083e-001	2.241e+001	1.088e+002
39061.2941100	8.535e+001	1.025e+002	9.040e-002	2.249e+001	1.115e+002
39061.2944600	7.969e+001	9.838e+001	6.222e-002	2.249e+001	1.069e+002
39061.2948100	8.597e+001	1.065e+002	4.358e-002	2.245e+001	1.158e+002
39061.2951500	9.381e+001	6.476e+001	5.253e-002	2.241e+001	1.323e+002
39061.2955000	8.212e+001	9.784e+001	1.117e-001	2.245e+001	1.064e+002
39061.2958500	8.968e+001	1.121e+002	7.283e-002	2.249e+001	1.218e+002
39061.2961900	9.504e+001	6.449e+001	3.053e-002	2.257e+001	1.322e+002
39061.2965400	9.148e+001	1.050e+002	1.206e-001	2.257e+001	1.143e+002
39061.2968900	8.105e+001	7.267e+001	6.308e-002	2.265e+001	7.964e+001
39061.2972400	9.086e+001	9.729e+001	6.476e-002	2.265e+001	1.061e+002
39061.2975800	8.884e+001	9.443e+001	7.667e-002	2.269e+001	1.030e+002
39061.2979300	9.300e+001	1.032e+002	1.012e-001	2.269e+001	1.125e+002
39061.2982800	7.851e+001	8.932e+001	1.412e-001	2.253e+001	9.727e+001
39061.2986200	1.097e+002	1.339e+002	1.323e-001	2.241e+001	1.455e+002
39061.2989700	9.602e+001	9.899e+001	1.357e-001	2.245e+001	1.081e+002
39061.2993200	8.736e+001	9.981e+001	9.764e-002	2.253e+001	1.087e+002
39061.2996700	6.874e+001	6.349e+001	7.737e-002	2.257e+001	6.953e+001
39061.3000100	9.646e+001	6.740e+001	1.094e-001	2.253e+001	1.373e+002
39061.3003600	1.332e+002	9.634e+001	9.040e-002	2.241e+001	1.947e+002
39061.3007100	1.305e+001	9.823e+000	1.169e-001	2.241e+001	1.083e+001
39061.3010600	7.574e+001	5.220e+001	1.267e-001	2.237e+001	1.066e+002
39061.3014000	1.216e+002	9.140e+001	1.030e-001	2.241e+001	1.831e+002
39061.3017500	1.193e+002	8.621e+001	1.096e-001	2.241e+001	1.742e+002
39061.3021000	1.467e+002	1.872e+002	7.209e-002	2.249e+001	2.034e+002
39061.3024400	1.938e+002	1.522e+002	1.266e-001	2.257e+001	3.021e+002
39061.3027900	1.818e+002	1.479e+002	1.110e-001	2.269e+001	2.914e+002
39061.3031400	6.609e+001	5.377e+001	1.218e-001	2.281e+001	5.911e+001
39061.3034900	7.239e+001	8.004e+001	1.159e-001	2.277e+001	8.722e+001
39061.3038300	7.905e+001	9.133e+001	5.584e-002	2.281e+001	9.942e+001
39061.3041800	8.278e+001	9.131e+001	7.783e-002	2.285e+001	9.952e+001
39061.3045300	8.440e+001	9.390e+001	1.109e-001	2.289e+001	1.023e+002
39061.3048700	8.067e+001	9.520e+001	6.105e-002	2.293e+001	1.036e+002
39061.3052200	3.712e+001	3.706e+001	1.426e-001	2.297e+001	4.049e+001
39061.3055700	8.476e+001	1.016e+002	9.874e-002	2.293e+001	1.105e+002
39061.3059200	8.348e+001	1.053e+002	9.541e-002	2.293e+001	1.144e+002
39061.3062600	5.743e+001	6.451e+001	9.598e-002	2.285e+001	7.028e+001
39061.3066100	1.171e+002	1.478e+002	8.880e-002	2.289e+001	1.606e+002
39061.3069600	9.422e+001	9.576e+001	1.054e-001	2.285e+001	1.046e+002
39061.3073100	1.068e+002	8.082e+001	8.614e-002	2.285e+001	1.617e+002
39061.3076500	5.010e+001	5.584e+001	4.827e-002	2.289e+001	6.083e+001
39061.3080000	6.809e+001	7.648e+001	1.203e-001	2.309e+001	8.331e+001
39061.3083500	1.281e+002	1.325e+002	1.276e-001	2.317e+001	1.447e+002
39061.3086900	9.670e+001	1.173e+002	1.225e-001	2.317e+001	1.275e+002
39061.3090400	1.463e+002	1.045e+002	4.317e-002	2.313e+001	2.117e+002
39061.3093900	1.336e+002	1.692e+002	1.349e-001	2.313e+001	1.838e+002
39061.3097400	1.442e+002	1.099e+002	9.653e-002	2.321e+001	2.195e+002
39061.3100800	1.373e+002	1.580e+002	9.819e-002	2.325e+001	1.721e+002
39061.3104300	1.649e+002	1.290e+002	9.040e-002	2.333e+001	2.563e+002
39061.3107800	5.155e+001	4.498e+001	1.418e-001	2.337e+001	4.934e+001
39061.3111200	5.936e+001	6.487e+001	8.488e-002	2.341e+001	7.071e+001
39061.3114700	6.833e+001	8.015e+001	1.252e-001	2.341e+001	8.722e+001
39061.3118200	3.475e+001	3.266e+001	8.488e-002	2.345e+001	3.574e+001
39061.3121700	8.207e+001	9.720e+001	1.352e-001	2.349e+001	1.057e+002
39061.3125100	4.092e+001	3.879e+001	7.667e-002	2.345e+001	4.244e+001
39061.3128600	7.140e+001	7.859e+001	1.200e-001	2.361e+001	8.565e+001
39061.3132100	6.845e+001	7.829e+001	9.874e-002	2.357e+001	8.525e+001
39061.3135600	7.792e+001	8.818e+001	8.572e-002	2.361e+001	9.603e+001
39061.3139000	1.164e+002	1.481e+002	9.819e-002	2.385e+001	1.609e+002
39061.3142500	8.970e+001	1.045e+002	1.131e-001	2.401e+001	1.138e+002
39061.3146000	9.406e+001	1.152e+002	1.164e-001	2.421e+001	1.252e+002
39061.3149400	6.273e+001	6.239e+001	1.046e-001	2.425e+001	6.817e+001
39061.3152900	8.774e+001	1.069e+002	1.490e-001	2.445e+001	1.162e+002
39061.3156400	1.375e+002	1.067e+002	8.551e-002	2.473e+001	2.123e+002
39061.3159900	9.921e+001	1.071e+002	8.940e-002	2.501e+001	1.168e+002
39061.3163300	4.965e+001	4.051e+001	4.900e-002	2.529e+001	4.453e+001
39061.3166800	2.221e+002	1.768e+002	7.643e-002	2.565e+001	3.500e+002
39061.3170300	1.128e+002	1.235e+002	1.215e-001	2.577e+001	1.347e+002
39061.3173700	7.759e+001	8.787e+001	1.173e-001	2.573e+001	9.570e+001
39061.3177200	4.893e+001	4.548e+001	9.560e-002	2.565e+001	4.979e+001
39061.3180700	9.465e+001	1.184e+002	1.313e-001	2.561e+001	1.287e+002
39061.3184200	7.927e+001	8.757e+001	1.061e-001	2.561e+001	9.543e+001
39061.3187600	4.455e+001	4.673e+001	8.424e-002	2.569e+001	5.099e+001
